identifier,bank-account,bank-card
1,DE82444435329779109646,70120805493
2,DE70334119137743514093,55604431442
3,DE76894768662419673111,20771854028
4,DE78690946739504309806,83707544167
5,DE50139821739297986888,42718934402
6,DE77851065666584720184,18806177349
7,DE29354508073743831293,96703007827
8,DE10985785971549145687,77564182741
9,DE93852973047302670654,31663657886
10,DE67444719107381296569,13760295902
11,DE50561242036667643899,86282228113
12,DE51728838437501118370,16099819392
13,DE22170806079195028710,60071020732
14,DE27235503909700305654,55102872139
15,DE92648558961468741310,98589286539
16,DE44305226222441557697,63746971915
17,DE50493093512418563495,34798406796
18,DE46175649932131791856,44611908990
19,DE65403466947923029055,15358949088
20,DE32132962269821718345,14141556117
21,DE33510125629974889896,98907557841
22,DE28571102327654896575,77206567451
23,DE20117978677399847042,66457300073
24,DE98578335434393251543,64657919164
25,DE28254691836878919381,33826279124
26,DE31852781254280985515,26327169045
